Format Version,1.22,Take Name,KB2T_tran_002,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 06.04.26.622 PM,Total Frames in Take,1439,Total Exported Frames,361,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,5.500781,42.872181,-10.306222,-15.310782,161.178452,-7.824630,-0.351913,0.108201,0.182395,-2.644277,156.757034,175.580460,172.492859,15.683450,163.739456,19.094887,14.017224,-10.584204,-12.632258,163.823868,-11.725479,17.931362,11.507338,-12.951101,-17.728989,163.506271,-6.808125,-82.045929,100.976707,179.970901,21.114492,13.645256,-7.570399,-20.771074,161.953049,-3.118336,78.710136,211.672165,176.010971,18.270390,16.928356,-11.230501,-10.137345,155.425888,-9.624058,79.958939,102.146896,179.674240,-80.186897,210.731430,177.008957,18.740181,163.998764,-5.218613,4.408275,167.576096,-1.883048,,,,,,,,,,,,,,,,,,,,,
17,0.283333,5.514793,42.838257,-10.285695,-15.301532,161.175964,-7.810646,-0.355707,0.108697,0.183512,-2.646422,156.756104,175.576050,172.509506,15.706124,163.753555,19.096718,14.017498,-10.581788,-12.620836,163.822311,-11.707396,17.932549,11.507158,-12.949986,-17.720839,163.502777,-6.794492,-82.046715,100.976265,179.972046,21.112434,13.643076,-7.568356,-20.764874,161.947144,-3.107331,78.706909,211.672852,176.002213,18.277233,16.931696,-11.226366,-10.126261,155.426758,-9.610849,79.959145,102.147316,179.672104,-80.188164,210.728195,176.994186,18.746576,164.012833,-5.180544,4.410758,167.581253,-1.851165,,,,,,,,,,,,,,,,,,,,,
18,0.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.316667,5.494544,42.788097,-10.181220,-15.288178,161.179764,-7.783830,-0.353743,0.108921,0.182990,-2.644850,156.756180,175.579910,172.523041,15.730858,163.743286,19.096279,14.016384,-10.577993,-12.607759,163.834686,-11.676526,17.933941,11.506367,-12.947056,-17.711403,163.502670,-6.768037,-82.045601,100.976158,179.972412,21.110100,13.641397,-7.564062,-20.757175,161.939972,-3.085301,78.709000,211.672165,176.007660,18.276730,16.930695,-11.222174,-10.103462,155.436737,-9.582365,79.957893,102.147308,179.671951,-80.186974,210.728882,177.003860,18.752237,164.047729,-5.110497,4.410023,167.596619,-1.797909,,,,,,,,,,,,,,,,,,,,,
20,0.333333,5.479609,42.764011,-10.125835,-15.286239,161.182571,-7.770236,-0.354835,0.109665,0.183036,-2.645353,156.756165,175.578156,172.533173,15.739370,163.736130,19.095594,14.015339,-10.576294,-12.605855,163.840408,-11.660057,17.934374,11.505880,-12.945824,-17.711502,163.503448,-6.754704,-82.046204,100.978210,179.970520,21.108826,13.640012,-7.562195,-20.758024,161.937256,-3.074069,78.708473,211.672241,176.003784,18.275654,16.929552,-11.220158,-10.097063,155.444031,-9.568614,79.959229,102.147438,179.671768,-80.187119,210.727951,177.002579,18.752363,164.068924,-5.084163,4.409999,167.604614,-1.772952,,,,,,,,,,,,,,,,,,,,,
21,0.350000,5.674632,43.867222,-10.184958,-15.222691,161.162643,-7.662119,-0.350645,0.108504,0.182438,-2.644317,156.756332,175.581589,172.534897,15.748666,163.732361,19.095831,14.014183,-10.574193,-12.607412,163.842957,-11.643452,17.935816,11.505254,-12.943840,-17.630518,163.477997,-6.593849,-82.046471,100.977432,179.968597,21.108311,13.638928,-7.559978,-20.870241,161.999069,-3.341514,78.710068,211.671539,176.012894,18.275354,16.927763,-11.218030,-10.094140,155.446869,-9.555560,79.959671,102.144714,179.676636,-80.186241,210.729141,177.012085,18.750891,164.085602,-5.060959,4.407315,167.612350,-1.751864,,,,-20.870241,161.999069,-3.341514,,,,,,,,,,,,,,,
22,0.366667,5.661687,43.865459,-10.150212,-15.224041,161.159302,-7.646447,-0.355040,0.108242,0.182621,-2.643936,156.756424,175.578995,172.517059,15.834969,163.768692,19.103149,14.019227,-10.568682,-12.609662,163.841660,-11.627096,17.937551,11.504925,-12.942089,-17.632946,163.473404,-6.577906,-82.045555,100.976906,179.971390,21.125481,13.654942,-7.548869,-20.873060,161.993271,-3.325874,78.710243,211.671906,176.006470,18.277061,16.926636,-11.215082,-10.092505,155.445892,-9.540903,79.959511,102.147446,179.674622,-80.186554,210.729980,177.004303,18.748970,164.093704,-5.044717,4.403059,167.618134,-1.735264,,,,-20.873060,161.993271,-3.325874,,,,,,,,,,,,,,,
23,0.383333,5.644516,43.849926,-10.115954,-15.225813,161.153534,-7.630936,-0.357060,0.108758,0.183226,-2.645155,156.755951,175.577026,172.544220,15.783793,163.766678,19.103729,14.014478,-10.568055,-12.611426,163.837418,-11.609912,17.940050,11.504306,-12.940491,-17.635983,163.466553,-6.562881,-82.046257,100.976524,179.972290,21.122486,13.642275,-7.550213,-20.876064,161.985107,-3.311050,78.708458,211.672302,176.001816,18.279142,16.925365,-11.213117,-10.091419,155.442581,-9.524679,79.958519,102.147697,179.673004,-80.186874,210.727783,176.997787,18.746052,164.098190,-5.024564,4.399209,167.620056,-1.718956,,,,-20.876064,161.985107,-3.311050,,,,,,,,,,,,,,,
24,0.400000,5.617517,43.832756,-10.088509,-15.226192,161.146957,-7.615958,-0.353294,0.108662,0.182742,-2.643779,156.756882,175.580719,172.558273,15.798397,163.781891,19.104736,14.013041,-10.565603,-12.612000,163.831528,-11.594433,17.941729,11.504210,-12.939027,-17.637444,163.459351,-6.549027,-82.045494,100.976311,179.972839,21.121906,13.638104,-7.546920,-20.877808,161.977478,-3.297490,78.710297,211.672516,176.009262,18.280918,16.925171,-11.210486,-10.088415,155.436127,-9.506857,79.959892,102.147270,179.675293,-80.185974,210.730270,177.007721,18.744894,164.102707,-5.003738,4.396130,167.620392,-1.701534,,,,-20.877808,161.977478,-3.297490,,,,,,,,,,,,,,,
25,0.416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
