Format Version,1.22,Take Name,BJS2 walk,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.34.07.960 PM,Total Frames in Take,78703,Total Exported Frames,19677,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
69,1.150000,4.431664,1.463571,3.723265,-1.011899,156.213547,-19.200106,-0.042881,0.863742,0.368964,1.748662,155.792160,174.676910,-38.136810,-26.490396,-18.840837,15.192305,8.106043,20.018200
70,1.166667,4.381741,1.348716,3.864256,-0.777105,156.064743,-19.200199,-0.045064,0.863254,0.368809,1.748169,155.791931,174.675568,-36.033886,-28.800959,-19.967518,15.076116,7.503412,18.241556
71,1.183333,3.761148,1.325903,3.985419,-0.553991,155.929596,-19.189804,-0.045422,0.864061,0.369163,1.747528,155.792084,174.674393,-32.441998,-29.629883,-19.353415,15.173361,7.670120,17.051016
72,1.200000,3.532691,1.281183,4.045827,-0.344937,155.962494,-19.197554,-0.044149,0.864755,0.369702,1.747862,155.791016,174.674911,-28.467861,-31.019711,-19.774355,15.407724,7.625574,15.781814
73,1.216667,4.118625,1.165015,4.202966,-0.120346,156.076660,-19.232374,-0.043284,0.864807,0.369567,1.748318,155.792160,174.675446,-27.469755,-31.229107,-22.558205,15.463545,7.336695,13.953127
74,1.233333,4.322681,1.025691,4.432706,0.111632,156.118591,-19.244999,-0.046606,0.863758,0.370158,1.748929,155.790588,174.673233,-25.062185,-31.589598,-22.927574,15.441031,7.287493,11.985761
75,1.250000,4.022521,0.937684,4.548630,0.305747,156.108124,-19.239035,-0.044609,0.864077,0.369622,1.748787,155.791550,174.675140,-23.826313,-32.037231,-23.693617,15.429542,7.138939,9.935882
76,1.266667,3.706434,0.934635,4.501899,0.448245,156.117035,-19.228580,-0.045372,0.864354,0.369849,1.748859,155.791016,174.675888,-22.139288,-32.236820,-23.993176,15.360284,7.044195,7.825754
77,1.283333,3.404613,0.937703,4.385855,0.552741,156.176041,-19.212088,-0.045407,0.864323,0.369477,1.748219,155.791458,174.676102,-21.000629,-32.453152,-24.417656,15.337502,6.982688,5.686668
78,1.300000,3.340599,0.936256,4.282376,0.639740,156.280182,-19.185455,-0.044382,0.864891,0.369780,1.748483,155.790802,174.675781,-19.957022,-32.717030,-24.584221,15.314958,6.929833,3.500422
79,1.316667,3.408058,0.905144,4.246658,0.708067,156.409103,-19.156637,-0.043757,0.864103,0.369546,1.748533,155.790466,174.677734,-19.083166,-33.070011,-24.974424,15.252590,6.876431,1.284183
80,1.333333,3.327070,0.907538,4.186104,0.747143,156.551804,-19.130600,-0.043855,0.864246,0.369929,1.749814,155.790695,174.677216,-18.341480,-33.419704,-25.207853,15.229148,6.899579,-0.956315
81,1.350000,3.268210,0.975641,4.116593,0.757483,156.732666,-19.113733,-0.046331,0.864157,0.369754,1.748697,155.790649,174.676193,-17.434111,-33.491394,-25.191225,15.232622,6.948508,-3.257576
82,1.366667,3.510335,1.037328,4.084620,0.747864,156.953186,-19.113602,-0.043340,0.864738,0.369264,1.749792,155.790924,174.676834,-16.592949,-33.225330,-25.236658,15.207541,6.964900,-5.604970
83,1.383333,3.869700,1.094113,4.094391,0.733641,157.172882,-19.124470,-0.047374,0.863733,0.370138,1.749047,155.790146,174.675262,-15.579018,-32.978104,-24.984867,15.162820,7.019074,-7.948204
84,1.400000,4.143510,1.146327,4.160044,0.711217,157.354172,-19.136158,-0.043645,0.864129,0.369408,1.749375,155.789963,174.677902,-14.569837,-32.502956,-24.617443,15.094462,7.095595,-10.289983
85,1.416667,4.363143,1.189556,4.180119,0.677806,157.487274,-19.143108,-0.045794,0.864048,0.369556,1.749302,155.790405,174.677094,-13.317430,-31.978148,-24.097172,15.000439,7.203036,-12.635118
86,1.433333,4.502621,1.226812,4.199432,0.634500,157.560104,-19.137316,-0.043274,0.865353,0.369848,1.749100,155.790436,174.678711,-12.069168,-31.415108,-23.639122,14.865088,7.330270,-14.971145
87,1.450000,4.572511,1.250873,4.210762,0.587293,157.575668,-19.115795,-0.040728,0.864704,0.368951,1.749566,155.790100,174.682144,-10.886798,-30.397846,-23.250708,14.645432,7.488521,-17.313156
88,1.466667,4.592150,1.266422,4.251948,0.541547,157.534286,-19.074984,-0.040793,0.865559,0.369547,1.749575,155.789551,174.682053,-9.397692,-29.358171,-22.587769,14.382296,7.699852,-19.668377
89,1.483333,4.573771,1.260230,4.307004,0.489638,157.443222,-19.019899,-0.043841,0.865676,0.369682,1.748991,155.789520,174.680573,-7.900647,-28.263170,-22.048376,14.125949,7.945773,-22.024307
90,1.500000,4.524929,1.267999,4.351923,0.427080,157.308273,-18.954571,-0.044509,0.865150,0.369725,1.748365,155.789978,174.678009,-6.477278,-27.433338,-21.490372,13.885066,8.205400,-24.351673
91,1.516667,4.439993,1.299094,4.365420,0.344805,157.148483,-18.887062,-0.044563,0.865289,0.369945,1.748321,155.790970,174.678741,-5.134639,-26.732151,-21.034670,13.696005,8.513607,-26.653000
92,1.533333,4.474041,1.306269,4.359196,0.247326,156.977264,-18.818810,-0.044229,0.865838,0.370015,1.747807,155.789764,174.679977,178.634689,26.689116,-162.014008,13.587920,8.875532,-28.915096
93,1.550000,4.522981,1.354445,4.365148,0.137555,156.803055,-18.750824,-0.045121,0.866630,0.370153,1.747441,155.789948,174.677780,-179.844955,26.247370,-162.454956,13.525290,9.300179,-31.131830
94,1.566667,4.612486,1.372716,4.348075,0.014484,156.613953,-18.672770,-0.044984,0.866137,0.369883,1.747714,155.790878,174.677948,-0.625863,-25.315828,-19.706562,13.502160,9.786454,-33.290176
95,1.583333,4.553803,1.391219,4.327179,-0.127623,156.402603,-18.582756,-0.044815,0.866737,0.370383,1.747453,155.790955,174.677841,1.157233,-24.855516,-19.342718,13.524077,10.366377,-35.376556
96,1.600000,4.445749,1.432150,4.260580,-0.296904,156.181915,-18.482552,-0.044439,0.866855,0.369767,1.747750,155.791473,174.678070,3.313187,-24.266006,-18.796267,13.586823,11.026966,-37.400467
97,1.616667,4.351623,1.474124,4.175719,-0.492119,155.967270,-18.379154,-0.043729,0.867067,0.370204,1.747767,155.790527,174.679688,-172.084763,24.206732,-163.842941,13.658914,11.744579,-39.294834
98,1.633333,4.215162,1.535288,4.078283,-0.699286,155.753647,-18.271141,-0.046859,0.866205,0.370383,1.746679,155.789459,174.677704,8.177112,-23.373775,-18.221645,13.758265,12.534089,-41.028393
