Format Version,1.22,Take Name,CS1_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 11.20.45.254 AM,Total Frames in Take,1053,Total Exported Frames,264,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.283333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.316667,-7.300382,42.934998,0.436277,-13.205460,166.740005,-1.087484,-0.355856,0.099548,0.176702,-2.646898,156.770645,175.582581,177.016312,29.871361,-179.581665,16.301416,14.833714,0.152236,-10.904514,169.366547,-5.271330,15.346802,13.118392,-2.933123,-15.922676,168.802124,-0.272580,-82.040588,101.012672,179.936508,17.293674,13.496320,3.397324,-18.735888,167.206726,3.577334,78.712860,211.677811,176.021652,16.280430,17.905621,-0.010582,-7.282118,161.583572,-2.360588,79.930740,102.161789,179.665894,-80.178925,210.746033,176.991364,19.813940,172.640579,-3.588927,5.496051,176.792816,2.807117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.333333,-7.315205,42.936031,0.441867,-13.203499,166.739334,-1.092858,-0.355776,0.097925,0.176005,-2.646625,156.770782,175.581131,177.003250,29.872923,-179.578171,16.301809,14.833553,0.149902,-10.902844,169.365234,-5.277271,15.347548,13.118002,-2.935220,-15.920835,168.801422,-0.278277,-82.039734,101.014091,179.933075,17.293131,13.495955,3.395625,-18.733833,167.206573,3.572021,78.713768,211.676971,176.022583,16.281363,17.905823,-0.013747,-7.279428,161.583023,-2.365518,79.929771,102.162621,179.663040,-80.178810,210.747818,176.985596,19.815165,172.646271,-3.595543,5.496183,176.793793,2.800727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.350000,-7.315155,42.921379,0.430481,-13.201780,166.739044,-1.099144,-0.359014,0.098656,0.177005,-2.648360,156.770813,175.580338,176.995483,29.873283,-179.573746,16.302908,14.834539,0.148486,-10.899695,169.364136,-5.283283,15.348445,13.118628,-2.936431,-15.919107,168.801559,-0.285580,-82.040283,101.012924,179.937454,17.294342,13.497501,3.394196,-18.733332,167.207535,3.564167,78.711090,211.678436,176.017639,16.282509,17.906605,-0.015359,-7.278367,161.581879,-2.369142,79.928627,102.162643,179.664520,-80.180626,210.746552,176.979980,19.819086,172.646286,-3.595120,5.498740,176.794296,2.795058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.366667,-7.305782,42.913139,0.413423,-13.198575,166.739059,-1.104450,-0.358766,0.099386,0.176855,-2.648049,156.770920,175.579391,176.996841,29.875662,-179.583847,16.303041,14.834883,0.147570,-10.895257,169.363525,-5.288299,15.348684,13.118384,-2.937265,-15.915632,168.802124,-0.291429,-82.040886,101.012444,179.937607,17.294594,13.498187,3.393393,-18.730827,167.208832,3.557899,78.711548,211.678345,176.015900,16.282545,17.907265,-0.016500,-7.276082,161.580627,-2.373117,79.929451,102.162994,179.663666,-80.180237,210.747025,176.982193,19.823059,172.639252,-3.594095,5.502018,176.791946,2.791101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.383333,-7.314346,42.920086,0.403925,-13.195789,166.739624,-1.109296,-0.358266,0.098122,0.176540,-2.647187,156.770828,175.580887,176.988953,29.871002,-179.577179,16.303301,14.835398,0.147027,-10.892553,169.362671,-5.294075,15.348763,13.119011,-2.937642,-15.912479,168.803284,-0.296533,-82.040253,101.012817,179.935837,17.294708,13.498574,3.393076,-18.727489,167.211380,3.553509,78.712692,211.677795,176.019669,16.282825,17.907576,-0.017367,-7.274149,161.580063,-2.377117,79.929398,102.162704,179.666092,-80.179764,210.747559,176.984756,19.826933,172.630386,-3.594774,5.506118,176.789810,2.787822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.400000,-7.305084,42.910976,0.377122,-13.194458,166.741913,-1.115179,-0.358573,0.098400,0.176753,-2.647300,156.770706,175.580948,176.990005,29.868568,-179.578751,16.304441,14.836287,0.147276,-10.889542,169.363571,-5.299905,15.350151,13.120142,-2.937272,-15.910654,168.806564,-0.303286,-82.040237,101.011749,179.938248,17.295593,13.499123,3.393238,-18.726944,167.216141,3.546439,78.712379,211.677979,176.019043,16.284035,17.908587,-0.017147,-7.274124,161.580307,-2.381176,79.930054,102.162872,179.666183,-80.180145,210.747391,176.983887,19.830435,172.621780,-3.596920,5.509643,176.787079,2.783060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.416667,-7.290043,42.898972,0.354285,-13.193877,166.744247,-1.120850,-0.354707,0.099866,0.176433,-2.647497,156.771362,175.583237,176.985489,29.876005,-179.563965,16.305046,14.837029,0.147647,-10.887246,169.365265,-5.305036,15.350524,13.121007,-2.937124,-15.909727,168.809616,-0.309641,-82.040611,101.012741,179.937332,17.295942,13.499990,3.393537,-18.727381,167.219986,3.539408,78.712502,211.678131,176.022964,16.285141,17.909115,-0.016512,-7.274653,161.581024,-2.385229,79.929085,102.162682,179.663513,-80.179634,210.747986,176.993149,19.833591,172.613358,-3.599042,5.512964,176.784973,2.778387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
