Format Version,1.22,Take Name,CS2_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-03 11.12.42.571 AM,Total Frames in Take,1202,Total Exported Frames,301,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,-11.427781,48.164948,0.457415,-11.464521,166.467056,-19.916382,-0.366943,0.084084,0.180023,-2.638164,156.807602,175.588287,174.603973,-51.126053,-2.285485,17.978487,14.016785,-14.965595,-9.518703,168.721848,-24.439379,17.660160,15.351234,-18.358904,-14.073339,168.629807,-19.012886,-81.996880,101.078796,179.874084,18.202690,15.766671,-11.763963,-16.544720,167.361710,-14.821762,78.718185,211.719696,176.038666,18.089523,10.951502,-14.773875,-5.753454,161.150772,-21.365273,79.872589,102.261902,179.571060,-80.148933,210.758835,176.928421,20.976934,169.976883,-24.494246,8.066574,175.485367,-17.764442,,,,,,,,,,,,
17,0.283333,-11.402528,48.123734,0.461946,-11.464053,166.468842,-19.908268,-0.369027,0.083259,0.179779,-2.638475,156.806824,175.587997,174.600571,-51.119808,-2.296885,17.978592,14.016943,-14.964446,-9.514351,168.726349,-24.429819,17.659899,15.351254,-18.357845,-14.073917,168.630630,-19.005503,-81.997070,101.079407,179.873062,18.202351,15.766615,-11.762446,-16.547964,167.359955,-14.816730,78.718086,211.718613,176.037567,18.090511,10.952114,-14.773014,-5.750455,161.154419,-21.356314,79.871964,102.260742,179.574722,-80.149101,210.757996,176.925781,20.976759,169.985397,-24.462145,8.063276,175.488586,-17.739910,,,,,,,,,,,,
18,0.300000,-11.389020,48.025352,0.451976,-11.469522,166.474869,-19.900557,-0.368628,0.083558,0.180108,-2.638361,156.807190,175.587845,174.614243,-51.115192,-2.287628,17.978146,14.016607,-14.963841,-9.513267,168.732712,-24.416706,17.660192,15.351549,-18.356848,-14.081409,168.635971,-19.002016,-81.996361,101.080475,179.872818,18.201736,15.765901,-11.761801,-16.562313,167.364304,-14.817604,78.717896,211.719437,176.037354,18.089485,10.951493,-14.772820,-5.753698,161.162521,-21.339220,79.871597,102.263405,179.568954,-80.148834,210.757309,176.923325,20.975838,169.996643,-24.437147,8.059580,175.494461,-17.716339,,,,,,,,,,,,
19,0.316667,-11.351087,48.001690,0.454420,-11.471801,166.479630,-19.887430,-0.367641,0.082485,0.179695,-2.637674,156.807785,175.586395,174.617599,-51.113304,-2.287195,17.976873,14.015585,-14.963256,-9.514276,168.741440,-24.401983,17.658943,15.350664,-18.356333,-14.084284,168.639816,-18.988436,-81.996521,101.079544,179.870056,18.201025,15.765302,-11.760969,-16.566717,167.364975,-14.805898,78.718979,211.719437,176.038376,18.087492,10.949759,-14.772468,-5.754223,161.168167,-21.326946,79.872620,102.262474,179.571579,-80.149010,210.759659,176.925705,20.974659,170.008820,-24.411875,8.055045,175.500412,-17.691942,,,,,,,,,,,,
20,0.333333,-11.300333,47.976723,0.444645,-11.474356,166.484802,-19.874207,-0.368391,0.083543,0.179874,-2.638175,156.807617,175.586914,174.604721,-51.080315,-2.307415,17.978668,14.017719,-14.961701,-9.514981,168.750839,-24.386995,17.660635,15.351526,-18.355392,-14.087187,168.644379,-18.974745,-81.996483,101.081680,179.870056,18.202679,15.769212,-11.758449,-16.571533,167.366440,-14.794294,78.718307,211.719513,176.036682,18.089092,10.951013,-14.771417,-5.755906,161.173553,-21.314430,79.872444,102.262161,179.570816,-80.148880,210.757874,176.924438,20.974463,170.020050,-24.386009,8.051857,175.507294,-17.666801,,,,,,,,,,,,
21,0.350000,-11.261290,47.959217,0.440872,-11.474494,166.488632,-19.859287,-0.367944,0.083658,0.180102,-2.638858,156.806931,175.587738,174.629013,-51.097553,-2.286476,17.977299,14.016318,-14.961884,-9.514123,168.757965,-24.370602,17.660065,15.351879,-18.354904,-14.087637,168.647598,-18.959267,-81.997017,101.080452,179.870895,18.199833,15.764766,-11.759175,-16.573254,167.366974,-14.780390,78.717407,211.719162,176.037766,18.088818,10.951326,-14.771551,-5.755227,161.177795,-21.300495,79.871681,102.262672,179.569870,-80.149750,210.756897,176.926041,20.973501,170.027771,-24.358252,8.047958,175.510452,-17.638004,,,,23.489059,57.224117,-6.612551,,,,,,
22,0.366667,-11.248176,47.932613,0.442192,-11.472992,166.491837,-19.844727,-0.368351,0.083058,0.179466,-2.638109,156.806198,175.589111,174.627640,-51.098591,-2.285535,17.977369,14.016923,-14.961237,-9.510851,168.762894,-24.355078,17.660328,15.352586,-18.354210,-14.086771,168.650299,-18.945356,-81.996414,101.079453,179.872635,18.200708,15.766163,-11.758597,-16.574141,167.368393,-14.767922,78.718750,211.717529,176.039597,18.087715,10.950834,-14.770910,-5.752275,161.181641,-21.284309,79.870903,102.261063,179.572006,-80.148926,210.757950,176.927551,20.977551,170.031876,-24.324471,8.049438,175.513412,-17.609921,,,,,,,,,,,,
23,0.383333,-11.215719,47.933300,0.432891,-11.468729,166.494904,-19.828495,-0.365807,0.083685,0.179224,-2.638179,156.807281,175.589203,174.613266,-51.068615,-2.311474,17.977371,14.018456,-14.960596,-9.505629,168.767578,-24.338192,17.660362,15.353313,-18.353832,-14.082281,168.653259,-18.928188,-81.997566,101.080452,179.870697,18.200821,15.769480,-11.757108,-16.569828,167.369751,-14.751348,78.718933,211.718246,176.041245,18.087641,10.951389,-14.770958,-5.748581,161.184875,-21.270630,79.870995,102.260742,179.571777,-80.148308,210.758713,176.932816,20.981991,170.037781,-24.284470,8.051158,175.516266,-17.580000,,,,,,,,,,,,
24,0.400000,-11.188491,47.894978,0.414135,-11.465967,166.497177,-19.812115,-0.367331,0.084283,0.179548,-2.638329,156.806671,175.588577,174.608505,-51.077736,-2.314958,17.977074,14.018950,-14.960529,-9.498597,168.770294,-24.319893,17.659256,15.353516,-18.353998,-14.079964,168.655533,-18.913132,-81.997490,101.081017,179.870682,18.200928,15.769999,-11.756985,-16.570539,167.371262,-14.738330,78.718475,211.718109,176.038315,18.087584,10.952030,-14.770738,-5.745272,161.187592,-21.252319,79.871193,102.261665,179.570099,-80.148232,210.756775,176.930542,20.987371,170.043976,-24.248758,8.051291,175.518829,-17.551601,,,,,,,,,,,,
25,0.416667,-11.203275,47.822895,0.412053,-11.467167,166.501892,-19.796627,-0.367988,0.083780,0.179666,-2.638613,156.807693,175.585938,174.614685,-51.072422,-2.309821,17.976614,14.019407,-14.960443,-9.494343,168.772537,-24.300810,17.659342,15.354222,-18.353760,-14.082750,168.659943,-18.901501,-81.997124,101.081596,179.869034,18.200357,15.770461,-11.756866,-16.578215,167.376297,-14.729420,78.718063,211.719299,176.035751,18.086662,10.952182,-14.770836,-5.744748,161.194687,-21.229345,79.871132,102.261963,179.569626,-80.148788,210.758087,176.925522,20.992237,170.048828,-24.218010,8.051133,175.521286,-17.524984,,,,,,,,,,,,
