Format Version,1.22,Take Name,BJS2 stand10min,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.47.42.947 PM,Total Frames in Take,76769,Total Exported Frames,19193,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8432,140.533333,3.932159,-3.486948,6.436420,-3.845560,157.017197,-22.290092,-0.042597,0.864397,0.368928,1.748077,155.789520,174.677231,-9.730623,-27.363363,-6.073709,19.123211,8.193386,-14.280231
8433,140.550000,3.913317,-3.513360,6.443995,-3.852126,157.005615,-22.283216,-0.044656,0.863996,0.369834,1.748104,155.788361,174.674545,-9.806013,-27.306292,-6.024062,19.122522,8.200174,-14.297442
8434,140.566667,3.885642,-3.531993,6.457670,-3.857968,156.992950,-22.274752,-0.043632,0.864174,0.369209,1.748525,155.789810,174.674698,-9.923146,-27.265318,-6.032001,19.116632,8.199319,-14.315737
8435,140.583333,3.856479,-3.555946,6.469059,-3.863521,156.981033,-22.265316,-0.039935,0.866527,0.369051,1.748476,155.790222,174.678635,-9.947671,-27.253370,-5.933785,19.112711,8.204190,-14.328663
8436,140.600000,3.825455,-3.569853,6.488161,-3.869383,156.970779,-22.254042,-0.043411,0.865143,0.369400,1.748150,155.789215,174.676819,-9.985228,-27.222307,-5.883205,19.110901,8.208015,-14.341307
8437,140.616667,3.801472,-3.588362,6.508015,-3.877129,156.962799,-22.241615,-0.043545,0.865684,0.369723,1.748175,155.788284,174.678665,-9.991470,-27.177168,-5.844893,19.106064,8.208025,-14.351487
8438,140.633333,3.782780,-3.598466,6.529119,-3.884054,156.956726,-22.227234,-0.047696,0.863662,0.369739,1.747930,155.787842,174.672485,-10.018669,-27.161720,-5.831380,19.102856,8.210650,-14.358700
8439,140.650000,3.758014,-3.603038,6.554973,-3.890572,156.950821,-22.208635,-0.046339,0.864210,0.369696,1.747389,155.789261,174.671402,-10.039160,-27.148813,-5.818810,19.101818,8.214281,-14.363898
8440,140.666667,3.735182,-3.608996,6.597178,-3.894924,156.944565,-22.186230,-0.047843,0.863736,0.370004,1.746870,155.789673,174.672195,-10.065736,-27.159781,-5.823350,19.101017,8.218697,-14.365649
8441,140.683333,3.731854,-3.612109,6.635560,-3.899581,156.939423,-22.161640,-0.046862,0.863321,0.369423,1.747503,155.790222,174.673431,-10.021288,-27.158157,-5.774649,19.098993,8.220979,-14.365268
8442,140.700000,3.714262,-3.609613,6.664012,-3.902661,156.935287,-22.134369,-0.046511,0.861787,0.368898,1.747371,155.789703,174.674423,-9.988757,-27.171322,-5.775959,19.096432,8.222130,-14.361690
8443,140.716667,3.698919,-3.596408,6.685802,-3.907140,156.932404,-22.105738,-0.047947,0.862321,0.369413,1.746928,155.789063,174.671448,-9.960283,-27.183361,-5.780922,19.093962,8.222436,-14.355855
8444,140.733333,3.688016,-3.594116,6.697863,-3.912227,156.931580,-22.076832,-0.045721,0.863194,0.369487,1.747275,155.788589,174.674530,-9.917955,-27.197500,-5.783259,19.093241,8.222300,-14.349033
8445,140.750000,3.684390,-3.583498,6.706450,-3.917382,156.932465,-22.046791,-0.043812,0.863761,0.369004,1.747078,155.789063,174.674820,-9.886248,-27.207510,-5.778802,19.093836,8.223785,-14.341945
8446,140.766667,3.689956,-3.558706,6.711694,-3.924778,156.935013,-22.016029,-0.045800,0.863108,0.369590,1.747444,155.788651,174.674911,-9.877237,-27.200853,-5.815043,19.094034,8.227917,-14.333505
8447,140.783333,3.706367,-3.524852,6.708699,-3.932674,156.939957,-21.987642,-0.043480,0.863641,0.369177,1.747391,155.789764,174.675659,-9.836131,-27.211775,-5.815324,19.091768,8.227957,-14.327013
8448,140.800000,3.720164,-3.484284,6.708829,-3.942620,156.945908,-21.960531,-0.043107,0.865301,0.369053,1.746800,155.790421,174.676743,-9.798189,-27.217779,-5.808973,19.090096,8.229058,-14.322098
8449,140.816667,3.733195,-3.437772,6.706670,-3.953598,156.952057,-21.934906,-0.043281,0.865384,0.369670,1.746736,155.789917,174.676956,-9.768943,-27.219536,-5.808683,19.087368,8.230533,-14.318747
8450,140.833333,3.749012,-3.392199,6.691916,-3.964303,156.958633,-21.911980,-0.044373,0.865641,0.369680,1.747645,155.789322,174.676773,-9.746437,-27.213097,-5.794375,19.083628,8.231893,-14.317104
8451,140.850000,,,,,,,,,,,,,,,,,,
8452,140.866667,3.800298,-3.314922,6.684778,-3.984160,156.973541,-21.871349,-0.044897,0.863714,0.369617,1.747318,155.789215,174.674622,-9.710583,-27.190046,-5.768696,19.079077,8.237674,-14.318563
8453,140.883333,3.823415,-3.280606,6.675397,-3.992149,156.983978,-21.852524,-0.044157,0.864122,0.369585,1.748107,155.789749,174.675064,-9.635948,-27.088104,-5.678696,19.089064,8.248290,-14.338727
8454,140.900000,3.840919,-3.246692,6.671189,-3.997074,156.995956,-21.835634,-0.044405,0.865169,0.369114,1.748269,155.789642,174.676926,-9.573332,-26.900822,-5.523782,19.111977,8.270084,-14.377062
