Format Version,1.22,Take Name,BJS2 stand,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.26.29.198 PM,Total Frames in Take,82631,Total Exported Frames,20659,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.466667,9.287543,1.193963,3.219836,-2.887507,159.203308,-25.052536,-0.111612,0.962909,0.349824,1.664993,155.805511,174.731430,-9.836969,-4.754905,-7.429851,17.074389,8.430449,-22.239141
29,0.483333,9.294111,1.188901,3.224263,-2.876061,159.206741,-25.058933,-0.113583,0.962197,0.350232,1.664561,155.805313,174.730865,-9.796437,-4.738722,-7.467659,17.083389,8.430206,-22.238609
30,0.500000,9.299082,1.186883,3.233532,-2.864394,159.209976,-25.064659,-0.117012,0.961323,0.350251,1.663965,155.804016,174.728317,-9.724294,-4.698112,-7.499918,17.091770,8.428276,-22.239313
31,0.516667,9.300589,1.185008,3.237860,-2.854727,159.212845,-25.068632,-0.113201,0.962511,0.349722,1.664111,155.805267,174.730728,-9.668871,-4.688193,-7.549614,17.101353,8.427819,-22.236551
32,0.533333,9.300866,1.195378,3.240789,-2.846856,159.217484,-25.072721,-0.113796,0.961764,0.349336,1.665072,155.805862,174.730606,-9.611370,-4.690967,-7.603452,17.111223,8.427535,-22.231985
33,0.550000,9.320685,1.202808,3.244736,-2.840235,159.223694,-25.077316,-0.112585,0.961617,0.349441,1.664903,155.806549,174.730484,-9.575220,-4.700412,-7.699566,17.120670,8.426202,-22.225252
34,0.566667,9.344135,1.217350,3.245741,-2.835582,159.230896,-25.082403,-0.112514,0.961810,0.349063,1.664775,155.805817,174.733002,-9.498967,-4.754417,-7.730226,17.131863,8.429025,-22.214199
35,0.583333,9.369563,1.226290,3.248168,-2.831589,159.238129,-25.087761,-0.116998,0.962909,0.349184,1.663442,155.805099,174.730560,-9.446010,-4.788227,-7.788369,17.137075,8.425968,-22.204483
36,0.600000,9.400895,1.235561,3.251814,-2.828794,159.245987,-25.094122,-0.114027,0.963292,0.349231,1.664763,155.805420,174.733536,-9.388605,-4.819880,-7.847127,17.140455,8.422706,-22.196032
37,0.616667,9.438082,1.240117,3.255899,-2.825575,159.253784,-25.101513,-0.116262,0.963013,0.349347,1.663614,155.805664,174.732391,-9.335143,-4.841693,-7.891323,17.143389,8.419947,-22.188858
38,0.633333,9.469662,1.239329,3.262344,-2.822352,159.261017,-25.109646,-0.115077,0.965683,0.349067,1.661869,155.806488,174.733124,-9.287585,-4.866282,-7.937753,17.147749,8.417755,-22.182522
39,0.650000,9.492443,1.242981,3.268254,-2.818603,159.267365,-25.118795,-0.114813,0.965116,0.349011,1.662619,155.807037,174.733398,-9.268135,-4.895189,-8.020196,17.154945,8.415792,-22.175009
40,0.666667,9.508774,1.238995,3.275490,-2.814898,159.271133,-25.128719,-0.117816,0.968721,0.348532,1.657783,155.805466,174.733078,-9.237607,-4.925054,-8.052957,17.161266,8.413876,-22.168749
41,0.683333,9.517704,1.230535,3.279902,-2.810400,159.272644,-25.139704,-0.045696,0.862673,0.370295,1.749344,155.790024,174.674286,-9.193456,-4.956945,-8.084101,17.169474,8.414655,-22.161736
42,0.700000,9.514932,1.225603,3.287824,-2.806038,159.273361,-25.151381,-0.045635,0.862525,0.370300,1.748997,155.790451,174.674408,-9.164998,-4.973816,-8.111224,17.174065,8.413933,-22.157188
43,0.716667,9.515976,1.206282,3.298025,-2.801601,159.272278,-25.163673,-0.044047,0.864547,0.370136,1.749220,155.790634,174.675659,-9.162872,-4.962796,-8.144445,17.179602,8.415588,-22.151602
44,0.733333,9.513793,1.180747,3.309522,-2.795801,159.269409,-25.175896,-0.040932,0.865002,0.370014,1.749749,155.790710,174.679993,-9.148309,-4.993247,-8.163385,17.182178,8.413960,-22.148220
45,0.750000,9.505463,1.163064,3.321355,-2.789367,159.265381,-25.187748,-0.046359,0.863791,0.370351,1.749297,155.790665,174.673050,-9.157912,-5.026399,-8.150878,17.189028,8.415667,-22.143803
46,0.766667,9.487535,1.141431,3.333592,-2.781960,159.260635,-25.199425,-0.046005,0.862995,0.370582,1.749643,155.791214,174.673447,-9.141358,-5.019744,-8.162215,17.191137,8.414894,-22.142231
47,0.783333,9.473296,1.131290,3.344957,-2.774992,159.255646,-25.209927,-0.045349,0.862986,0.369773,1.750460,155.790848,174.674637,-9.135944,-5.026454,-8.170403,17.191967,8.414273,-22.141438
48,0.800000,9.467101,1.120501,3.361675,-2.767237,159.250717,-25.219440,-0.045101,0.863317,0.370605,1.749582,155.790054,174.675049,-9.138126,-5.032497,-8.180102,17.192074,8.413066,-22.140614
49,0.816667,9.455512,1.120407,3.371558,-2.759289,159.245270,-25.228273,-0.041907,0.863345,0.369467,1.750930,155.791077,174.677475,-9.134023,-5.036001,-8.189456,17.193768,8.413142,-22.139404
